Signal,Q3.4 (8-bit),Q3.8 (12-bit),Q5.10 (16-bit),Q5.12 (18-bit),Q7.8 (16-bit),float32
A to 4l,-0.009004984902356662,-0.00037520770426486064,-0.0001786703353642196,-7.146813414568749e-05,-0.00037520770426486064,0.0
H to tau nu,-0.0003696045625776038,-8.02344424100849e-05,-1.972978092051273e-05,0.0,-8.02344424100849e-05,0.0
H to tau tau,-0.00021554124721713096,-6.075659317529862e-05,-2.6038539932270806e-05,-5.786342207171266e-06,-6.075659317529862e-05,0.0
LQ,0.00023785472655515883,1.4682390528096209e-05,8.809434316857736e-06,2.9364781056192093e-06,1.4682390528096209e-05,0.0
