Signal,Q3.4 (8-bit),Q3.8 (12-bit),Q5.10 (16-bit),Q5.12 (18-bit),Q7.8 (16-bit),float32
A to 4l,-0.390430841599814,-0.11815423186049412,-0.1084463822182814,-0.017975676535224916,-0.11815423186049412,0.0
H to tau nu,-0.295471991620762,-0.16817529003945297,-0.15515261722071183,-0.03228615755068576,-0.16817529003945297,0.0
H to tau tau,-0.18696111782855218,-0.11418772186535764,-0.12183794828727901,-0.021293207721367446,-0.11418772186535764,0.0
LQ,-0.2435773888788968,-0.1554015260704198,-0.17833240458501698,-0.03706140525233159,-0.1554015260704198,0.0
